species	genus	subgenus	type	typeref	common	common(s)	range	rangecites	realm	status	NCBITaxonID	EOLID	iNaturalist	GBIF
rapax	Minuca	.	Gelasimus rapax	Smith1870.2	Mudflat Fiddler Crab	English|Mudflat Fiddler Crab	southeastern Mexico to Brazil; USA (Florida); throughout Caribbean islands	Thurman2018	Western Atlantic Realm	extant	1218286	1037648	555976	2221537
rhizophorae	Tubuca	Angustuca	Uca rhizophorae	Tweedie1950.1	Asian Mangrove Fiddler Crab	English|Asian Mangrove Fiddler Crab	Singapore; eastern Malaysia; Borneo	Crane1975;Suzawa1993;Shih2016.2;Tan1994	Indo-West Pacific Realm	extant	.	3119001	739176	4382486
rosea	Tubuca	Angustuca	Gelasimus roseus	Tweedie1937	Rose Fiddler Crab	English|Rose Fiddler Crab	eastern India to Bangladesh; southern Myanmar to Singapore; western Borneo; northern Sumatra	Crane1975;Bairagi1988;Bouillon2002;Fransen1997	Indo-West Pacific Realm	extant	.	3119002	739177	4382580
saltitanta	Leptuca	.	Uca saltitanta	Crane1941	Energetic Fiddler Crab	English|Energetic Fiddler Crab	El Salvador to Colombia	Crane1975	Eastern Pacific Realm	extant	.	3118960	739178	4382508
seismella	Tubuca	Australuca	Uca seismella	Crane1975	Shaking Fiddler Crab	English|Shaking Fiddler Crab	Australia	George1982;vonHagen1989	Indo-West Pacific Realm	extant	52386	3118935	739179	4382500
signata	Tubuca	Australuca	Gelasimus signatus	Hess1865	Signaling Fiddler Crab	English|Signaling Fiddler Crab	Australia	George1982;vonHagen1989	Indo-West Pacific Realm	extant	53287	3118936	739180	4382487
sindensis	Austruca	Sinduca	Gelasimus inversus var. sindensis	Alcock1900	Indus Fiddler Crab	English|Indus Fiddler Crab	Kuwait to northwestern India	Crane1975;Collins1984;Naderloo2012;Naderloo2013;Naderloo2015;Saher2012;Trivedi2015	Indo-West Pacific Realm	extant	1316774	3118989	739181	4382585
speciosa	Leptuca	.	Gelasimus speciosus	Ives1891	Brilliant Fiddler Crab	English|Brilliant Fiddler Crab;English|Longfinger Fiddler Crab	USA (Florida to Alabama), Mexico (Yucatan peninsula), western Cuba, The Bahamas	Hopkins2010.2;Thurman2010	Western Atlantic Realm	extant	.	344215	739182	2221545
spinicarpa	Leptuca	.	Uca spinicarpa	Rathbun1900.2	Spiny-wristed Fiddler Crab	English|Spiny-wristed Fiddler Crab;English|Spined Fiddler Crab	USA (northwestern Florida) through Mexico	Hopkins2010.2;RomeroRodriguez2017	Western Atlantic Realm	extant	.	3118962	739183	2221539
splendida	Paraleptuca	.	Gelasimus splendidus	Stimpson1858	Splendid Fiddler Crab	English|Splendid Fiddler Crab;Chinese|麗彩招潮;Japanese|「スイカガニ」	Taiwan, China, Vietnam	Shih2012;Shih2016	Indo-West Pacific Realm	extant	1316779	40006056	640625	.
