Species	Front breadth	Carapace color uniformity	Carapace color	H-groove color	Joint color	Shear-shaped claw	Style on major eye	Eyestalk color	Claw symmetry	Claw color uniformity	Claw color (uniform)	Major pollex pitting	Major dactyl color	Major pollex color	Major claw base color	Major claw base tubercles	Walking leg color	Tip of dactyl shape	Anterolateral angle shape	Anterolateral angle direction	Claw Speckles	Orbit Shape	Lateral margins of carapace angle	Dorsolateral margin of carapace length	Grooves on outer surface of major cheliped fingers
♀ Female {{typhoni}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{umbratila}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{uruguayensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{urvillei}}	1.1	2.?	3.?	4.?	5.2	6.-	7.-	8.5	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{variegata}}	1.2	2.2	3.9	4.1	5.2	6.-	7.-	8.1	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.3	19.-	20.1	21.1	22.-	23.1	24.?	25.?	26.?
♀ Female {{victoriana}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{virens}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{vocans}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{vocator}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{vomeris}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
