Reference(s)	Species	Total	Right	Left	% Right	% Left	Note
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	6	6	0	1.000	0.000	.
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
Barnwell1982	tetragonon	3	3	0	1.000	0.000	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	9	9	0	1.000	0.000	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
Barnwell1982	tetragonon	6	6	0	1.000	0.000	.
Barnwell1982	tetragonon	21	19	2	0.905	0.095	.
Barnwell1982	tetragonon	14	12	2	0.857	0.143	.
Barnwell1982	tetragonon	9	9	0	1.000	0.000	.
Barnwell1982	tetragonon	15	14	1	0.933	0.067	.
Barnwell1982	tetragonon	6	6	0	1.000	0.000	.
Barnwell1982	tetragonon	3	3	0	1.000	0.000	.
Barnwell1982	formosensis	2	2	0	1.000	0.000	.
Barnwell1982	formosensis	1	1	0	1.000	0.000	.
Barnwell1982	formosensis	2	1	1	0.500	0.500	.
Yamaguchi1994	acuta	6	5	1	0.833	0.167	.
Yamaguchi1994	rhizophorae	2	2	0	1.000	0.000	.
Yamaguchi1994	albimana	51	27	24	0.529	0.471	.
Yamaguchi1994	arcuata	31	17	14	0.548	0.452	.
Yamaguchi1994	batuenta	7	3	4	0.429	0.571	.
Yamaguchi1994	beebei	11	4	7	0.364	0.636	.
Yamaguchi1994	brevifrons	3	0	3	0.000	1.000	.
Yamaguchi1994	burgersi	517	266	251	0.515	0.485	.
Yamaguchi1994	capricornis	4	2	2	0.500	0.500	.
Yamaguchi1994	coarctata	14	4	10	0.286	0.714	.
Yamaguchi1994	cumulanta	33	14	19	0.424	0.576	.
Yamaguchi1994	dampieri	2	2	0	1.000	0.000	.
Yamaguchi1994	demani	1	1	0	1.000	0.000	.
Yamaguchi1994	dorotheae	16	7	9	0.438	0.563	.
Yamaguchi1994	dussumieri	23	12	11	0.522	0.478	.
Yamaguchi1994	capricornis	1	0	1	0.000	1.000	.
Yamaguchi1994	paradussumieri	25	17	8	0.680	0.320	.
Yamaguchi1994	flammula	6	5	1	0.833	0.167	.
Yamaguchi1994	bellator	4	0	4	0.000	1.000	This was listed as <em class="species">Uca forceps</em>
Yamaguchi1994	forcipata	16	7	9	0.438	0.563	.
Yamaguchi1994	crassipes	23	12	11	0.522	0.478	.
Yamaguchi1994	galapagensis	12	5	7	0.417	0.583	.
Yamaguchi1994	heteropleura	3	1	2	0.333	0.667	.
Yamaguchi1994	inaequalis	10	5	5	0.500	0.500	.
Yamaguchi1994	insignis	3	1	2	0.333	0.667	.
Yamaguchi1994	intermedia	3	2	1	0.667	0.333	.
Yamaguchi1994	inversa	143	64	79	0.448	0.552	.
Yamaguchi1994	lactea	58	29	29	0.500	0.500	.
Yamaguchi1994	ecuadoriensis	11	5	6	0.455	0.545	.
Yamaguchi1994	latimanus	10	5	5	0.500	0.500	.
Yamaguchi1994	leptodactyla	34	13	21	0.382	0.618	.
Yamaguchi1994	limicola	1	0	1	0.000	1.000	.
Yamaguchi1994	major	9	4	5	0.444	0.556	.
Yamaguchi1994	maracoani	120	57	63	0.475	0.525	.
Yamaguchi1994	tomentosa	6	3	3	0.500	0.500	.
Yamaguchi1994	minax	43	23	20	0.535	0.465	.
Yamaguchi1994	mordax	225	101	124	0.449	0.551	.
Yamaguchi1994	perplexa	31	14	17	0.452	0.548	.
Yamaguchi1994	ornata	2	2	0	1.000	0.000	.
Yamaguchi1994	polita	3	2	1	0.667	0.333	.
Yamaguchi1994	princeps	9	6	3	0.667	0.333	.
Yamaguchi1994	pugilator	66	36	30	0.545	0.455	.
Yamaguchi1994	pugnax	60	27	33	0.450	0.550	.
Yamaguchi1994	rapax	582	290	292	0.498	0.502	.
Yamaguchi1994	rosea	43	18	25	0.419	0.581	.
Yamaguchi1994	sindensis	5	2	3	0.400	0.600	.
Yamaguchi1994	signata	92	53	39	0.576	0.424	.
Yamaguchi1994	speciosa	97	40	57	0.412	0.588	.
Yamaguchi1994	spinicarpa	2	2	0	1.000	0.000	.
Yamaguchi1994	stenodactylus	9	3	6	0.333	0.667	.
Yamaguchi1994	stylifera	10	4	6	0.400	0.600	.
Yamaguchi1994	tallanica	6	2	4	0.333	0.667	.
Yamaguchi1994	tangeri	70	38	32	0.543	0.457	.
Yamaguchi1994	tenuipedis	2	2	0	1.000	0.000	.
Yamaguchi1994	terpsichores	3	1	2	0.333	0.667	.
Yamaguchi1994	tetragonon	105	99	6	0.943	0.057	.
Yamaguchi1994	thayeri	9	5	4	0.556	0.444	.
Yamaguchi1994	hesperiae	9	9	0	1.000	0.000	.
Yamaguchi1994	vocans	21	21	0	1.000	0.000	.
Yamaguchi1994	vocator	63	29	34	0.460	0.540	.
Yamaguchi1994	zacae	3	2	1	0.667	0.333	.
Yamaguchi1994	jocelynae	2	2	0	1.000	0.000	These are the Indonesian individuals he had under the species <em>neocultrima</em>
Yamaguchi1994	excisa	1	1	0	1.000	0.000	This is the Samoan individual he had under the species <em>neocultrima</em>
Yamaguchi1994	alcocki	2	2	0	1.000	0.000	These are the Indian individuals he had under the species {{urvillei}}
Yamaguchi1994	urvillei	47	26	21	0.553	0.447	These are the African individuals he had under the species {{urvillei}}
