species	#	caption
tangeri	6	Photo by Birgit Wolfrath.
tangeri	7	Photo by Birgit Wolfrath.
tangeri	8	Photo by Birgit Wolfrath.
tangeri	9	Photo by Birgit Wolfrath.
tangeri	10	Portugal. Photo by Chris Lukhaup.
tangeri	11	Portugal. Photo by Chris Lukhaup.
tangeri	12	Portugal. Photo by Chris Lukhaup.
tangeri	13	Gabon. Photo by Jean-Pierre Vande weghe.
tangeri	14	Gabon. Photo by Jean-Pierre Vande weghe.
tangeri	15	Gabon. Photo by Jean-Pierre Vande weghe.
tangeri	16	Gabon. Photo by Jean-Pierre Vande weghe.
tenuipedis	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
tenuipedis	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
terpsichores	1	"Photo by P.R.Y. Backwell, Panama City, Panama."
terpsichores	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
terpsichores	3	"Photo from Kim <em>et al.</em> (2007), Figure 1."
tetragonon	5	This photo was originally obtained from a webpage which no longer appears to exist.
tetragonon	6	This photo was originally obtained from a webpage which no longer appears to exist.
tetragonon	8	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
tetragonon	9	Photo from Ho <em>et al.</em> (1993).
tetragonon	10	Photo from Ho <em>et al.</em> (1993).
tetragonon	11	Photo from Ho <em>et al.</em> (1993).
tetragonon	12	Photo from Ho <em>et al.</em> (1993).
tetragonon	13	Photo by Chris Lukhaup.
tetragonon	14	Photo by Chris Lukhaup.
tetragonon	15	Photo by Chris Lukhaup.
tetragonon	16	Photo by Chris Lukhaup.
tetragonon	17	"Sulawesi, Indonesia. Photo by <a href=""http://www.ryanphotographic.com/"">Paddy Ryan</a>."
tetragonon	18	"Sulawesi, Indonesia. Photo by <a href=""http://www.ryanphotographic.com/"">Paddy Ryan</a>."
tetragonon	19	"Photo from Barnes (2010), Figure 1."
thayeri	1	This photo was originally obtained from a webpage which no longer appears to exist.
thayeri	2	"Photo from Thurman <em>et al.</em> (2013), Figure 1."
triangularis	1	Photo from George &amp; Jones (1982).
triangularis	2	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
triangularis	5	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
typhoni	1	"Photo from Shih <em>et al.</em> (2010), Figure 4."
typhoni	2	"Photo from Shih <em>et al.</em> (2010), Figure 4."
uruguayensis	1	"Mar Chiquita Coastal Lagoon, Buenos Aires Province, Argentina. Photo by Alejandro Bortolus."
uruguayensis	2	"Bahía Samborombón Bay, Argentina. Photo by Pablo Ribeiro."
uruguayensis	3	"Bahía Samborombón Bay, Argentina. Photo by Pablo Ribeiro."
uruguayensis	4	"Photo from Thurman <em>et al.</em> (2013), Figure 1."
urvillei	1	This photo was originally obtained from a webpage which no longer appears to exist.
urvillei	2	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
urvillei	3	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
urvillei	4	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
urvillei	5	"Photo originally obtained from <a href=""http://www.simaensis.org"">siamensis.org</a>."
urvillei	6	"Photo originally obtained from <a href=""http://www.simaensis.org"">siamensis.org</a>."
urvillei	7	Thailand. Photo by Rueangrit Promdam.
urvillei	8	Thailand. Photo by Rueangrit Promdam.
victoriana	1	"Photo from Thurman <em>et al.</em> (2013), Figure 1."
vocans	1	"Photo from Shih <em>et al.</em> (2010), Figure 5."
vocans	2	"Photo from Shih <em>et al.</em> (2010), Figure 5."
vocans	3	Philippines. Photo by Chris Lukhaup.
vocans	4	Philippines. Photo by Chris Lukhaup.
vocans	5	This photo was originally obtained from a webpage which no longer appears to exist.
vocans	6	"Sulawesi, Indonesia. Photo by <a href=""http://www.ryanphotographic.com/"">Paddy Ryan</a>."
vocans	7	"Photo from Barnes (2010), Figure 1."
vocator	1	"Photo from Thurman <em>et al.</em> (2013), Figure 1."
vomeris	1	Photo from George &amp; Jones (1982).
vomeris	2	"This photo was originally obtained from a webpage which no longer appears to exist. I believe this is <em class=""species"">Uca vomeris.</em>"
