species	subgenus	type	typeref	common	common(s)	range	rangecites	region	status
forcipata	Tubuca	Gelasimus forcipatus	Adams1848	Forceps Fiddler Crab	Forceps Fiddler Crab	"Thailand, Malaysia, Western Indonesia"	Crane1975;Frith&amp;Frith1977.1;Jones1994	Indo-West Pacific	extant
formosensis	Gelasimus	Uca formosensis	Rathbun1921.2	Taiwanese Fiddler Crab	"Taiwanese Fiddler Crab, Formosan Fiddler Crab"	Taiwan	Shih1999.1	Indo-West Pacific	extant
galapagensis	Minuca	Uca galapagensis	Rathbun1902.3	Galapagos Fiddler Crab	Galapagos Fiddler Crab	"Columbia to Peru, Galapagos Islands (possibly Chile)"	Crane1975;Hendrickx1979;Brusca1980;vonPrahl1982;Barnwell1984.1	Eastern Pacific	extant
hamlini	Minuca	Uca hamlini	Rathbun1926.1	#	#	USA (California: Los Angeles)	Rathbun1926.1	Pliocene	fossil
helleri	Leptuca	Uca helleri	Rathbun1902.3	Heller's Fiddler Crab	Heller's Fiddler Crab	Galapagos Islands	Crane1975	Eastern Pacific	extant
herradurensis	Minuca	Uca galapagensis herradurensis	Bott1954	La Herradura Fiddler Crab	La Herradura Fiddler Crab	El Salvador to Panama (possibly Mexico)	Crane1975;Hendrickx1979;Brusca1980	Eastern Pacific	extant
hesperiae	Gelasimus	Uca vocans hesperiae	Crane1975	Western Calling Fiddler Crab	Western Calling Fiddler Crab	"South Africa to Somalia, Southern India, Burma, Thailand, Western Indonesia, Western Malaysia"	Crane1975;Frith1978	Indo-West Pacific	extant
heteropleura	Uca	Gelasimus heteropleurus	Smith1870.2	American Red Fiddler Crab	American Red Fiddler Crab	El Salvador to northern Peru	Crane1975;vonPrahl1982	Eastern Pacific	extant
hirsutimanus	Australuca	Uca hirsutimanus	George1982	Hairy-handed Fiddler Crab	Hairy-handed Fiddler Crab	Australia (North coast)	George1982;vonHagen1989	Indo-West Pacific	extant
inaequalis	Leptuca	Uca inaequalis	Rathbun1935.1	Uneven Fiddler Crab	Uneven Fiddler Crab	El Salvador to northern Peru	Crane1975	Eastern Pacific	extant
insignis	Uca	Acanthoplax insignis	MilneEdwards1852	Distinguished Fiddler Crab	Distinguished Fiddler Crab	El Salvador to northern Peru	Crane1975;vonPrahl1982	Eastern Pacific	extant
intermedia	Uca	Uca intermedia	vonPrahl1985	Intermediate Fiddler Crab	Intermediate Fiddler Crab	Panama (Panama City) to Columbia (Buenaventura Bay)	vonPrahl1985	Eastern Pacific	extant
